date,open,high,low,close,depeg_1d,depeg_3d,depeg_5d,depeg_7d,PL_3,PH_3,PL_5,PH_5,PL_7,PH_7,volume,V_monthly,ThreshD,ThreshU,marketCap,circulatingSupply,WLUNA_close
2019-11-22,0.9973583008,1.0265481268,0.9721642831,0.9925979113,NA,NA,NA,NA,1.0022701008,1.0162822351,0.9970338111,1.0162822351,0.9970338111,1.0162822351,2104540.84,NA,NA,NA,0,0,0.2542380599
2019-11-23,0.9921835652,1.0287471894,0.9883408904,1.0162822351,NA,NA,NA,NA,1.0022701008,1.0070214472,0.9970338111,1.0070214472,0.9970338111,1.0070214472,311283.08,NA,NA,NA,0,0,0.2696752135
2019-11-24,1.0162882225,1.0351357077,0.9956091626,1.0022701008,NA,NA,NA,NA,0.9970338111,1.0070214472,0.9970338111,1.0070214472,0.9970338111,1.0070214472,255060.08,NA,NA,NA,0,0,0.2585304636
2019-11-25,1.0012892841,1.0347078354,0.9848050747,1.0070214472,NA,NA,NA,NA,0.9970338111,1.0060959036,0.9970338111,1.0060959036,0.9970338111,1.0060959036,958777.17,NA,NA,NA,0,0,0.2408847724
2019-11-26,1.0072080774,1.0314280582,0.9917667394,1.0060959036,NA,NA,NA,NA,0.9970338111,1.0047594318,0.9970338111,1.0052275661,0.9970338111,1.0052275661,217384.77,NA,NA,NA,0,0,0.2305066265
2019-11-27,1.0049641168,1.0289869239,0.9844153214,0.9970338111,NA,NA,NA,NA,1.004738072,1.0052275661,0.9979161422,1.0052275661,0.9979161422,1.0052275661,478836.24,NA,NA,NA,0,0,0.2186627358
2019-11-28,0.9998679643,1.0175693783,0.9923338862,1.004738072,NA,NA,NA,NA,1.0010404802,1.0052275661,0.9979161422,1.0052275661,0.9979161422,1.0082051015,1295173.55,NA,NA,NA,0,0,0.2580371496
2019-11-29,1.0049776009,1.0081542053,0.9934729033,1.0047594318,NA,NA,NA,NA,0.9979161422,1.0052275661,0.9979161422,1.0052275661,0.9979161422,1.0082051015,1517444.25,NA,NA,NA,0,0,0.28625494420000003
2019-11-30,1.0047594318,1.0157644507,1.0002300775,1.0052275661,NA,NA,NA,NA,0.9979161422,1.0039190978,0.9979161422,1.0082051015,0.9979161422,1.0082051015,1099786.58,NA,NA,NA,0,0,0.283601044
2019-12-01,1.0045597973,1.0223201079,0.9954825534,1.0010404802,NA,NA,NA,NA,0.9979161422,1.0044496266,0.9979161422,1.0082051015,0.9979161422,1.0082051015,1383114.27,NA,NA,NA,0,0,0.2823890555
2019-12-02,1.0021830291,1.0193778756,0.9933970747,0.9979161422,NA,NA,NA,NA,1.0039190978,1.0082051015,1.0019046287,1.0082051015,1.0019046287,1.0082051015,1652541.81,NA,NA,NA,0,0,0.2628010157
2019-12-03,0.9979161422,1.0115974751,0.9912958197,1.0039190978,NA,NA,NA,NA,1.0019046287,1.0082051015,1.0019046287,1.0082051015,1.0019046287,1.0082051015,1436266.72,NA,NA,NA,0,0,0.2598097457
2019-12-04,1.0036349642,1.0142566849,0.9847916865,1.0044496266,NA,NA,NA,NA,1.0019046287,1.0082051015,1.0019046287,1.0082051015,1.0019046287,1.0082051015,2308280.28,NA,NA,NA,0,0,0.2520883258
