date,open,high,low,close,depeg_1d,depeg_3d,depeg_5d,depeg_7d,volume,V_monthly,ThreshD,ThreshU,marketCap,circulatingSupply,WLUNA_close,log_return,close_lag1d,close_lag7d,abs_peg_deviation,intraday_range,volatility_3d,volatility_7d,volatility_30d,ma_7d,ma_30d,dist_from_ma_7d,ema_7d,rsi_14,bb_pctb,dist_from_lower_band
2018-11-07,1.00144,1.01161,0.997181,1.0043,0,0,0,0,2589880,49032843,0.9726785145259816,1.0273214854740182,134846050.978564,134268695.59,1,0.0037709165703050528,1.00052,0.996386,0.0042999999999999705,0.014367220949915278,0.001396873346950098,0.004707797721482012,0.00508258242221208,0.9996425714285712,1.0080031333333335,0.0046590938646930225,1.0014417363912989,51.35270394519753,0.4649962655314129,0.01073826279620564
2018-11-08,1.00383,1.00721,0.998625,1.00384,0,0,0,0,3423190,52347230,0.9732677550786348,1.0267322449213652,134582387.304781,134067567.84,1,-4.581353969799229e-4,1.0043,0.992502,0.0038400000000000656,0.008552159706726126,0.0021155910509157577,0.0042513671333591924,0.005009551749573532,1.0012622857142854,1.0079024666666667,0.002574464575858587,1.0020413022934742,50.91452587532475,0.4516978662355164,0.010412368596398578
2018-11-09,1.00407,1.01361,1.00194,1.00804,0,0,0,1,3478250,55113697,0.9737227355403002,1.0262772644596998,135152022.946511,134074067.44,1,0.0041752053813518646,1.00384,0.999969,0.008040000000000047,0.011576921550731962,0.002566326062450846,0.003626258201958968,0.005044390571211529,1.0024152857142856,1.0078498,0.005611161726954767,1.0035409767201058,54.71403176171498,0.6308173277282155,0.014625431584203964
2018-11-10,1.00711,1.02973,0.995854,1.01096,0,0,0,1,2497760,53434167,0.97345025716136,1.02654974283864,135543519.223448,134074067.44,1,0.002892523066760111,1.00804,1.00379,0.01096000000000008,0.03350874416396298,0.0023923500590058372,0.0035288019344566395,0.005072944759881166,1.0034395714285713,1.0078891333333335,0.007494650186779178,1.0053957325400793,57.19481465078709,0.7675855474856059,0.017408626079609985
2018-11-11,1.01264,1.01993,0.996741,1.00901,0,0,1,1,4726130,56838057,0.9739912033628608,1.026008796637139,135307299.941031,134099067.34,1,-0.0019307223431531096,1.01096,0.997669,0.009009999999999962,0.022981932785601743,0.0032195062660107243,0.0022366197325791497,0.005055485524960845,1.005059714285714,1.0077654666666667,0.003930399018224838,1.0062992994050595,55.02692684587028,0.6820715642162949,0.01543754591602649
2018-11-12,1.00856,1.01514,1.0006,1.0132,0,0,1,1,6446540,62586090,0.9748131381600348,1.025186861839965,135869179.957355,134099072.2,1,0.004143987020248036,1.00901,0.998748,0.0132000000000001,0.014350572443742594,0.003207593910314556,0.002407850250048169,0.00501819354577789,1.0071242857142857,1.0079578,0.006032735355403837,1.0080244745537947,58.65339674601304,0.8521472086856313,0.01986201456974308
2018-11-13,1.00826,1.02223,0.999477,1.01282,0,1,1,1,6483310,68086650,0.975510532354762,1.024489467645238,135535719.465778,133820145.2,1,-3.7511969719551067e-4,1.0132,1.00052,0.012820000000000054,0.02246499871645507,0.0031555326799540314,0.0025801107857756364,0.0047492396467006,1.0088814285714285,1.0078414666666666,0.0039038992264418706,1.009223355915346,58.195073390257534,0.8209141583401421,0.019660816598757985
2018-11-14,1.01763,1.04334,0.999077,1.02307,0,1,1,1,24013300,81439550,0.9769296130808602,1.0230703869191398,145938457.51628,142647577.89,1,0.010069391377794706,1.01282,1.0043,0.023069999999999924,0.04326487923602485,0.005238010976182813,0.004071427926957993,0.0047343259627891975,1.011562857142857,1.0077171333333335,0.011375608323188811,1.0126850169365096,65.92883464923693,1.0984933858700838,0.03170501014068063
2018-11-15,1.02067,1.06139,1.00785,1.01831,1,1,1,1,18776600,98092070,0.9783168670076644,1.0216831329923357,145288637.977145,142676236.09,1,-0.004663520390001841,1.02307,1.00384,0.01831000000000005,0.05257730946371944,0.00757778421060903,0.004842868736919253,0.0047138256019179465,1.0136299999999998,1.0076131333333334,0.004617069344830205,1.0140912627023821,60.34570830608652,0.8970403094160184,0.027435237646198925
2018-11-16,1.01712,1.03941,1.00618,1.03027,0,0,0,0,9247040,106236370,0.9788857532600792,1.0211142467399206,147038389.425786,142718306.29,1,0.011676513376276287,1.01831,1.00804,0.03027000000000002,0.03225368107389313,0.009005907632944711,0.006067907391362932,0.004870777620822787,1.0168057142857143,1.0082158,0.013241748669502805,1.0181359470267866,67.73832070722776,1.1162746638491472,0.04193777327369948
2018-11-17,1.03344,1.03933,1.00616,1.00912,0,0,0,1,5537380,110591300,0.9791666227111218,1.0208333772888782,144078009.427742,142775893.28,1,-0.02074223987905261,1.03027,1.01096,0.009120000000000017,0.0328702235611227,0.016209552155650838,0.010880330012266891,0.006215993229026746,1.0165428571428572,1.0080234666666668,-0.0073020602040529846,1.01588196027009,49.99007587857862,0.5497297072231501,0.0205856459803187
2018-11-18,1.00962,1.01463,1.00118,1.01188,0,0,1,1,5735460,115611682,0.9794726560106926,1.0205273439893074,144472180.075049,142776001.18,1,0.002731322826153653,1.00912,1.00901,0.01187999999999989,0.013292089971142788,0.01674315851665565,0.010903695951727943,0.00606588643262523,1.0169528571428572,1.0081868,-0.004988291352176918,1.0148814702025675,51.76613114977359,0.6188270713194488,0.02330899094060166
