date,open,high,low,close,depeg_1d,depeg_3d,depeg_5d,depeg_7d,volume,V_monthly,ThreshD,ThreshU,marketCap,circulatingSupply,WLUNA_close,log_return,close_lag1d,close_lag7d,abs_peg_deviation,intraday_range,volatility_3d,volatility_7d,volatility_30d,ma_7d,ma_30d,dist_from_ma_7d,ema_7d,rsi_14,bb_pctb,dist_from_lower_band
2017-11-27,1.0067499876,1.0201699734,0.9981259704,1.0012899637,0,1,1,1,784436992,NA,0.995,1.005,675838547.862,674967839.35,1,NA,NA,NA,0.0012899636999998965,0.02201560367043165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-11-28,1.0028699636,1.0064799786,0.9960479736,1.0001399517,1,1,1,1,794764032,NA,0.995,1.005,675062334.847,674967839.35,1,-0.0011491905039628307,1.0012899637,NA,1.3995170000002943e-4,0.010430545227463566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-11-29,1.0001300573,1.0484499931,0.9556180239,0.99060601,1,1,1,1,1672120064,NA,0.995,1.005,732076009.362,739018347.72,1,-0.009578333723995726,1.0001399517,NA,0.009393989999999963,0.09371230162433603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-11-30,1.0038599968,1.0286699533,0.9893190265,1.0081000328,1,1,1,1,1043969984,NA,0.995,1.005,770205888.237,764017347.72,1,0.01750579543053433,0.99060601,NA,0.008100032800000045,0.03903474409251113,0.01386006858869139,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-12-01,1.0072000027,1.019209981,0.9930430055,1.0097800493,0,0,1,1,749395968,NA,0.995,1.005,771489437.381,764017347.72,1,0.001665130552681464,1.0081000328,NA,0.009780049299999982,0.025913539803187228,0.013606935760686058,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-12-02,1.008949995,1.0167700052,0.995611012,0.999653995,0,0,1,1,679950016,NA,0.995,1.005,813735697.718,814017347.72,1,-0.010078599040436002,1.0097800493,NA,3.460050000000381e-4,0.02116631685146211,0.013842812014777458,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-12-03,1.0010199547,1.0295399427,0.985319972,1.0006599426,0,1,1,1,946748992,NA,0.995,1.005,814554599.169,814017347.72,1,0.0010057898071833948,0.999653995,NA,6.599426000000186e-4,0.044190807303731934,0.0065981511438200895,NA,NA,1.0014614207285715,NA,-8.003085410802659e-4,1.0014614207285715,NA,NA,NA
2017-12-04,1.0024499893,1.0140500069,0.9921320081,1.0036699772,0,1,1,1,668510016,NA,0.995,1.005,817004791.386,814017347.72,1,0.0030035343314620826,1.0006599426,1.0012899637,0.003669977199999952,0.021837854372356538,0.007047421193477374,0.009247490003618592,NA,1.0018014226571428,NA,0.0018651945391543587,1.0020135598464286,NA,NA,NA
2017-12-05,1.0035099983,1.0083700418,0.996457994,1.0019700527,1,1,1,1,814145984,NA,0.995,1.005,815620961.895,814017347.72,1,-0.001695144574022013,1.0036699772,1.0001399517,0.001970052699999947,0.011888626579108417,0.002358092914931617,0.009264421697307172,NA,1.0020628656571429,NA,-9.262189062564686e-5,1.0020026830598214,NA,NA,NA
2017-12-06,0.9997599721,1.0200400352,0.995840013,1.0099099874,1,1,1,1,1281490048,NA,0.995,1.005,822084259.636,814017347.72,1,0.007893090804400692,1.0019700527,0.99060601,0.009909987399999931,0.02396255359579392,0.004794434336306594,0.00849313727461441,NA,1.0048205767142857,NA,0.0050649944912119025,1.003979509144866,NA,NA,NA
