date,open,high,low,close,depeg_1d,depeg_3d,depeg_5d,depeg_7d,PL_3,PH_3,PL_5,PH_5,PL_7,PH_7,volume,V_monthly,ThreshD,ThreshU,marketCap,circulatingSupply
2019-07-26,1.7042220846,1.8331670554,1.261695067,1.3274361751,NA,NA,NA,NA,1.2729889419,1.3105663179,1.2729889419,1.3105663179,1.2675154157,1.3105663179,12088575.15,NA,NA,NA,0,0
2019-07-27,1.3274361751,1.4028976277,1.2219383486,1.3105663179,NA,NA,NA,NA,1.2729889419,1.2946611242,1.2729889419,1.3001019966,1.2605981212,1.3001019966,6033445.9,NA,NA,NA,0,0
2019-07-28,1.3105663179,1.3685945031,1.2368578884,1.2729889419,NA,NA,NA,NA,1.2941930692,1.3001019966,1.2675154157,1.3001019966,1.2461718182,1.3001019966,1643708.58,NA,NA,NA,0,0
2019-07-29,1.2622702693,1.3759410044,1.1754434946,1.2946611242,NA,NA,NA,NA,1.2779842653,1.3001019966,1.2605981212,1.3001019966,1.1897148514,1.3001019966,3966802.04,NA,NA,NA,0,0
2019-07-30,1.2944352241,1.3743331283,1.2664843576,1.2941930692,NA,NA,NA,NA,1.2675154157,1.3001019966,1.2461718182,1.3001019966,1.1510447026,1.3001019966,1820704.65,NA,NA,NA,0,0
2019-07-31,1.2853825711,1.3284078199,1.2652665375,1.3001019966,NA,NA,NA,NA,1.2605981212,1.2779842653,1.1897148514,1.2779842653,1.1137773606,1.2779842653,1155166.85,NA,NA,NA,0,0
2019-08-01,1.2965009842,1.3593681422,1.2753218419,1.2779842653,NA,NA,NA,NA,1.2461718182,1.2675154157,1.1510447026,1.2675154157,1.1137773606,1.2675154157,884020.73,NA,NA,NA,0,0
2019-08-02,1.2758140694,1.3532279451,1.2149662663,1.2675154157,NA,NA,NA,NA,1.1897148514,1.2605981212,1.1137773606,1.2605981212,1.1137773606,1.2605981212,1356085.78,NA,NA,NA,0,0
2019-08-03,1.2667588232,1.280283324,1.2424518013,1.2605981212,NA,NA,NA,NA,1.1510447026,1.2461718182,1.1137773606,1.2461718182,1.1137773606,1.2461718182,453826.39,NA,NA,NA,0,0
2019-08-04,1.2607284502,1.2628520654,1.1936867494,1.2461718182,NA,NA,NA,NA,1.1137773606,1.1897148514,1.1137773606,1.2183848019,1.1137773606,1.2741264818,459244.45,NA,NA,NA,0,0
2019-08-05,1.2459868226,1.2837969014,1.1577250655,1.1897148514,NA,NA,NA,NA,1.1137773606,1.2010732381,1.1137773606,1.2183848019,1.1137773606,1.2836682859,1349148.25,NA,NA,NA,0,0
2019-08-06,1.1887672434,1.2762951782,1.0543825799,1.1510447026,NA,NA,NA,NA,1.1137773606,1.2183848019,1.1137773606,1.2741264818,1.1137773606,1.386630411,3368955.83,NA,NA,NA,0,0
2019-08-07,1.1508209093,1.1628819451,1.0740158514,1.1137773606,NA,NA,NA,NA,1.1351207594,1.2183848019,1.1351207594,1.2836682859,1.1351207594,1.386630411,1486227.4,NA,NA,NA,0,0
2019-08-08,1.1137773606,1.2295007829,1.1015977663,1.2010732381,NA,NA,NA,NA,1.1351207594,1.2741264818,1.1351207594,1.386630411,1.1351207594,1.386630411,2315297.24,NA,NA,NA,0,0
2019-08-09,1.2035924871,1.2846276329,1.1922258225,1.2183848019,NA,NA,NA,NA,1.1351207594,1.2836682859,1.1351207594,1.386630411,1.1351207594,1.386630411,2464327.63,NA,NA,NA,0,0
2019-08-10,1.2183848019,1.2191322676,1.0913409947,1.1351207594,NA,NA,NA,NA,1.2741264818,1.386630411,1.2741264818,1.386630411,1.2741264818,1.386630411,368140.58,NA,NA,NA,0,0
2019-08-11,1.1359872187,1.2935524848,1.0869233521,1.2741264818,NA,NA,NA,NA,1.2836682859,1.386630411,1.2836682859,1.386630411,1.2836682859,1.386630411,1132765.54,NA,NA,NA,0,0
2019-08-12,1.2746206424,1.3900520011,1.1425305262,1.2836682859,NA,NA,NA,NA,1.3044551297,1.386630411,1.2953516679,1.386630411,1.2953516679,1.386630411,998898.58,NA,NA,NA,0,0
2019-08-13,1.2812479898,1.4203187747,1.1191273523,1.386630411,NA,NA,NA,NA,1.2953516679,1.3206666442,1.2953516679,1.3206666442,1.260043007,1.3206666442,1803284.43,NA,NA,NA,0,0
2019-08-14,1.3864734397,1.4195069046,1.253862079,1.3044551297,NA,NA,NA,NA,1.2953516679,1.3206666442,1.2953516679,1.3206666442,1.260043007,1.3206666442,1728173.06,NA,NA,NA,0,0
2019-08-15,1.3044551297,1.3574615046,1.2369856222,1.3206666442,NA,NA,NA,NA,1.2953516679,1.3170277106,1.260043007,1.3170277106,1.2221571153,1.3170277106,1356818.49,NA,NA,NA,0,0
2019-08-16,1.3205226553,1.3322794257,1.195683279,1.2953516679,NA,NA,NA,NA,1.3030999979,1.3170277106,1.260043007,1.3170277106,1.1838784547,1.3170277106,591423.53,NA,NA,NA,0,0
