"window","coin","horizon","accuracy","sensitivity","specificity","precision","recall","f1_score","TP","TN","FP","FN","total_observations"
"Window 1","DAI","1d",0.976,1,0.97,0.886,1,0.939,31,129,4,0,164
"Window 1","DAI","3d",0.805,0.971,0.76,0.523,0.971,0.68,34,98,31,1,164
"Window 1","DAI","5d",0.835,0.919,0.811,0.586,0.919,0.716,34,103,24,3,164
"Window 1","DAI","7d",0.787,0.872,0.76,0.531,0.872,0.66,34,95,30,5,164
"Window 1","PAX","1d",1,NA,1,NA,NA,NA,0,40,0,0,40
"Window 1","PAX","3d",1,NA,1,NA,NA,NA,0,40,0,0,40
"Window 1","PAX","5d",1,NA,1,NA,NA,NA,0,40,0,0,40
"Window 1","PAX","7d",1,NA,1,NA,NA,NA,0,40,0,0,40
"Window 1","USDT","1d",1,NA,1,NA,NA,NA,0,164,0,0,164
"Window 1","USDT","3d",0.994,0,1,NA,0,NA,0,163,0,1,164
"Window 1","USDT","5d",0.939,0,0.957,0,0,0,0,154,7,3,164
"Window 1","USDT","7d",0.927,0,0.956,0,0,0,0,152,7,5,164
"Window 1","USDC","1d",0.963,0.886,0.984,0.939,0.886,0.912,31,127,2,4,164
"Window 1","USDC","3d",0.933,0.846,0.96,0.868,0.846,0.857,33,120,5,6,164
"Window 1","USDC","5d",0.896,0.733,0.958,0.868,0.733,0.795,33,114,5,12,164
"Window 1","USDC","7d",0.762,0.647,0.814,0.611,0.647,0.629,33,92,21,18,164
"Window 1","UST","1d",0.687,0.369,0.898,0.706,0.369,0.485,24,88,10,41,163
"Window 1","UST","3d",0.571,1,0,0.571,1,0.727,92,0,69,0,161
"Window 1","UST","5d",0.786,0.981,0.407,0.763,0.981,0.858,103,22,32,2,159
"Window 1","UST","7d",0.822,0.982,0.422,0.809,0.982,0.887,110,19,26,2,157
"Window 2","DAI","1d",0.991,0.5,0.995,0.5,0.5,0.5,5,1079,5,5,1094
"Window 2","DAI","3d",0.986,0.429,0.997,0.75,0.429,0.545,9,1068,3,12,1092
"Window 2","DAI","5d",0.981,0.393,0.996,0.733,0.393,0.512,11,1058,4,17,1090
"Window 2","DAI","7d",0.956,0.25,0.98,0.3,0.25,0.273,9,1031,21,27,1088
"Window 2","PAX","1d",0.99,0,1,NA,0,NA,0,673,0,7,680
"Window 2","PAX","3d",0.972,0,1,NA,0,NA,0,659,0,19,678
"Window 2","PAX","5d",0.948,0,0.985,0,0,0,0,641,10,25,676
"Window 2","PAX","7d",0.95,0,0.995,0,0,0,0,640,3,31,674
"Window 2","USDT","1d",0.997,0.5,1,1,0.5,0.667,3,1088,0,3,1094
"Window 2","USDT","3d",0.969,0.5,0.973,0.147,0.5,0.227,5,1053,29,5,1092
"Window 2","USDT","5d",0.217,0.571,0.212,0.009,0.571,0.018,8,228,848,6,1090
"Window 2","USDT","7d",0.507,0.5,0.507,0.017,0.5,0.032,9,543,527,9,1088
"Window 2","USDC","1d",0.916,0.022,0.999,0.667,0.022,0.042,2,1000,1,91,1094
"Window 2","USDC","3d",0.835,0.017,0.998,0.6,0.017,0.032,3,909,2,178,1092
"Window 2","USDC","5d",0.774,0.016,1,1,0.016,0.031,4,840,0,246,1090
"Window 2","USDC","7d",0.72,0.035,0.996,0.786,0.035,0.067,11,772,3,302,1088
