"window","coin","horizon","accuracy_GB","accuracy_PCR","accuracy_PLS","accuracy_RF","f1_score_GB","f1_score_PCR","f1_score_PLS","f1_score_RF","precision_GB","precision_PCR","precision_PLS","precision_RF","recall_GB","recall_PCR","recall_PLS","recall_RF"
"Window 1","DAI","1d",0.976,0.915,0.89,0.976,0.939,0.75,0.609,0.939,0.886,0.84,0.933,0.886,1,0.677,0.452,1
"Window 1","DAI","3d",0.866,0.823,0.902,0.805,0.756,0.508,0.704,0.68,0.618,0.625,1,0.523,0.971,0.429,0.543,0.971
"Window 1","DAI","5d",0.811,0.604,0.915,0.835,0.687,0.301,0.774,0.716,0.548,0.25,0.96,0.586,0.919,0.378,0.649,0.919
"Window 1","DAI","7d",0.598,0.238,0.817,0.787,0.507,0.384,0.625,0.66,0.358,0.238,0.61,0.531,0.872,1,0.641,0.872
"Window 1","PAX","1d",1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Window 1","PAX","3d",1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Window 1","PAX","5d",1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Window 1","PAX","7d",1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Window 1","USDC","1d",0.909,0.793,0.787,0.963,0.737,0.105,NA,0.912,0.955,0.667,NA,0.939,0.6,0.057,0,0.886
"Window 1","USDC","3d",0.848,0.762,0.762,0.933,0.561,NA,NA,0.857,0.889,NA,NA,0.868,0.41,0,0,0.846
"Window 1","USDC","5d",0.811,0.726,0.726,0.896,0.492,NA,NA,0.795,0.938,NA,NA,0.868,0.333,0,0,0.733
"Window 1","USDC","7d",0.768,0.689,0.689,0.762,0.525,NA,NA,0.629,0.724,NA,NA,0.611,0.412,0,0,0.647
"Window 1","USDT","1d",1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Window 1","USDT","3d",0.994,0.994,0.994,0.994,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"Window 1","USDT","5d",0.982,0.982,0.982,0.939,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0
"Window 1","USDT","7d",0.957,0.97,0.97,0.927,0,NA,NA,0,0,NA,NA,0,0,0,0,0
"Window 1","UST","1d",0.656,0.601,0.595,0.687,0.491,NA,0.492,0.485,0.6,NA,0.492,0.706,0.415,0,0.492,0.369
"Window 1","UST","3d",0.64,0.429,0.602,0.571,0.685,NA,0.731,0.727,0.685,NA,0.596,0.571,0.685,0,0.946,1
"Window 1","UST","5d",0.748,0.34,0.654,0.786,0.825,NA,0.786,0.858,0.764,NA,0.664,0.763,0.895,0,0.962,0.981
"Window 1","UST","7d",0.796,0.287,0.713,0.822,0.866,NA,0.833,0.887,0.817,NA,0.713,0.809,0.92,0,1,0.982
"Window 2","DAI","1d",0.993,0.99,0.83,0.991,0.556,0,0.031,0.5,0.625,0,0.016,0.5,0.5,0,0.3,0.5
"Window 2","DAI","3d",0.985,0.932,0.975,0.986,0.467,0.075,0,0.545,0.778,0.051,0,0.75,0.333,0.143,0,0.429
"Window 2","DAI","5d",0.971,0.928,0.957,0.981,0.304,0.233,0.113,0.512,0.389,0.16,0.12,0.733,0.25,0.429,0.107,0.393
"Window 2","DAI","7d",0.741,0.859,0.893,0.956,0.096,0.207,0.227,0.273,0.054,0.127,0.149,0.3,0.417,0.556,0.472,0.25
"Window 2","PAX","1d",0.99,0.991,0.975,0.99,NA,0.25,0.105,NA,NA,1,0.083,NA,0,0.143,0.143,0
"Window 2","PAX","3d",0.96,0.954,0.959,0.972,0.069,0,0.067,NA,0.1,0,0.091,NA,0.053,0,0.053,0
"Window 2","PAX","5d",0.92,0.891,0.833,0.948,0,0.075,0.034,0,0,0.055,0.022,0,0,0.12,0.08,0
"Window 2","PAX","7d",0.858,0.745,0.638,0.95,0.04,0.044,0.039,0,0.029,0.027,0.022,0,0.065,0.129,0.161,0
"Window 2","USDC","1d",0.919,0.916,0.916,0.916,0.119,0.061,0.021,0.042,0.75,0.6,1,0.667,0.065,0.032,0.011,0.022
"Window 2","USDC","3d",0.844,0.836,0.836,0.835,0.141,0.043,0.022,0.032,0.824,0.667,1,0.6,0.077,0.022,0.011,0.017
"Window 2","USDC","5d",0.77,0.776,0.77,0.774,0.218,0.047,0,0.031,0.493,1,0,1,0.14,0.024,0,0.016
"Window 2","USDC","7d",0.715,0.715,0.709,0.72,0.148,0.025,0,0.067,0.529,0.8,0,0.786,0.086,0.013,0,0.035
"Window 2","USDT","1d",0.996,0.996,0.995,0.997,0.6,0.6,NA,0.667,0.75,0.75,NA,1,0.5,0.5,0,0.5
"Window 2","USDT","3d",0.983,0.989,0.991,0.969,0.095,0.333,NA,0.227,0.091,0.375,NA,0.147,0.1,0.3,0,0.5
"Window 2","USDT","5d",0.873,0.983,0.987,0.217,0,0.308,NA,0.018,0,0.333,NA,0.009,0,0.286,0,0.571
"Window 2","USDT","7d",0.949,0.979,0.983,0.507,0,0.258,NA,0.032,0,0.308,NA,0.017,0,0.222,0,0.5
"Window 2","UST","1d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Window 2","UST","3d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Window 2","UST","5d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Window 2","UST","7d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
