"model","window","coin","horizon","accuracy","sensitivity","specificity","precision","recall","f1_score","auc","TP","TN","FP","FN","total_observations"
"GB","Window 1","DAI","depeg_1d",0.841,0.161,1,1,0.161,0.278,0.994,5,133,0,26,164
"GB","Window 1","DAI","depeg_3d",0.878,0.971,0.853,0.642,0.971,0.773,0.97,34,110,19,1,164
"GB","Window 1","DAI","depeg_5d",0.463,0.946,0.323,0.289,0.946,0.443,0.929,35,41,86,2,164
"GB","Window 1","DAI","depeg_7d",0.61,0.872,0.528,0.366,0.872,0.515,0.874,34,66,59,5,164
"GB","Window 1","PAX","depeg_1d",1,0,1,0,0,0,0,0,40,0,0,40
"GB","Window 1","PAX","depeg_3d",1,0,1,0,0,0,0,0,40,0,0,40
"GB","Window 1","PAX","depeg_5d",1,0,1,0,0,0,0,0,40,0,0,40
"GB","Window 1","PAX","depeg_7d",1,0,1,0,0,0,0,0,40,0,0,40
"GB","Window 1","USDC","depeg_1d",0.787,0,1,0,0,0,0.961,0,129,0,35,164
"GB","Window 1","USDC","depeg_3d",0.884,0.59,0.976,0.885,0.59,0.708,0.908,23,122,3,16,164
"GB","Window 1","USDC","depeg_5d",0.811,0.333,0.992,0.938,0.333,0.492,0.798,15,118,1,30,164
"GB","Window 1","USDC","depeg_7d",0.823,0.549,0.947,0.824,0.549,0.659,0.76,28,107,6,23,164
"GB","Window 1","USDT","depeg_1d",1,0,1,0,0,0,0,0,164,0,0,164
"GB","Window 1","USDT","depeg_3d",0.994,0,1,0,0,0,0.804,0,163,0,1,164
"GB","Window 1","USDT","depeg_5d",0.982,0,1,0,0,0,0.774,0,161,0,3,164
"GB","Window 1","USDT","depeg_7d",0.963,0,0.994,0,0,0,0.86,0,158,1,5,164
"GB","Window 1","UST","depeg_1d",0.663,0.4,0.837,0.619,0.4,0.486,0.705,26,82,16,39,163
"GB","Window 1","UST","depeg_3d",0.528,0.174,1,1,0.174,0.296,0.737,16,69,0,76,161
"GB","Window 1","UST","depeg_5d",0.748,0.933,0.389,0.748,0.933,0.831,0.74,98,21,33,7,159
"GB","Window 1","UST","depeg_7d",0.803,0.964,0.4,0.8,0.964,0.874,0.727,108,18,27,4,157
"GB","Window 2","DAI","depeg_1d",0.993,0.5,0.997,0.625,0.5,0.556,0.854,5,1081,3,5,1094
"GB","Window 2","DAI","depeg_3d",0.988,0.429,0.999,0.9,0.429,0.581,0.722,9,1070,1,12,1092
"GB","Window 2","DAI","depeg_5d",0.956,0.357,0.972,0.25,0.357,0.294,0.605,10,1032,30,18,1090
"GB","Window 2","DAI","depeg_7d",0.719,0.417,0.729,0.05,0.417,0.089,0.532,15,767,285,21,1088
"GB","Window 2","PAX","depeg_1d",0.99,0,1,0,0,0,0.588,0,673,0,7,680
"GB","Window 2","PAX","depeg_3d",0.945,0.053,0.971,0.05,0.053,0.051,0.653,1,640,19,18,678
"GB","Window 2","PAX","depeg_5d",0.898,0.04,0.931,0.022,0.04,0.028,0.602,1,606,45,24,676
"GB","Window 2","PAX","depeg_7d",0.303,0.581,0.289,0.038,0.581,0.071,0.621,18,186,457,13,674
"GB","Window 2","USDC","depeg_1d",0.919,0.054,0.999,0.833,0.054,0.101,0.805,5,1000,1,88,1094
"GB","Window 2","USDC","depeg_3d",0.839,0.061,0.993,0.647,0.061,0.111,0.73,11,905,6,170,1092
"GB","Window 2","USDC","depeg_5d",0.778,0.064,0.99,0.667,0.064,0.117,0.573,16,832,8,234,1090
"GB","Window 2","USDC","depeg_7d",0.723,0.048,0.996,0.833,0.048,0.091,0.534,15,772,3,298,1088
"GB","Window 2","USDT","depeg_1d",0.997,0.667,0.999,0.8,0.667,0.727,0.963,4,1087,1,2,1094
"GB","Window 2","USDT","depeg_3d",0.982,0.3,0.988,0.188,0.3,0.231,0.752,3,1069,13,7,1092
"GB","Window 2","USDT","depeg_5d",0.783,0.071,0.792,0.004,0.071,0.008,0.578,1,852,224,13,1090
"GB","Window 2","USDT","depeg_7d",0.837,0.278,0.847,0.03,0.278,0.053,0.524,5,906,164,13,1088
"LASSO","Window 1","DAI","depeg_1d",0.884,0.516,0.97,0.8,0.516,0.627,0.874,16,129,4,15,164
"LASSO","Window 1","DAI","depeg_3d",0.811,0.686,0.845,0.545,0.686,0.608,0.866,24,109,20,11,164
"LASSO","Window 1","DAI","depeg_5d",0.793,0.757,0.803,0.528,0.757,0.622,0.844,28,102,25,9,164
"LASSO","Window 1","DAI","depeg_7d",0.738,0.615,0.776,0.462,0.615,0.527,0.709,24,97,28,15,164
"LASSO","Window 1","PAX","depeg_1d",1,0,1,0,0,0,0,0,40,0,0,40
"LASSO","Window 1","PAX","depeg_3d",1,0,1,0,0,0,0,0,40,0,0,40
"LASSO","Window 1","PAX","depeg_5d",1,0,1,0,0,0,0,0,40,0,0,40
"LASSO","Window 1","PAX","depeg_7d",1,0,1,0,0,0,0,0,40,0,0,40
"LASSO","Window 1","USDC","depeg_1d",0.811,0.114,1,1,0.114,0.205,0.709,4,129,0,31,164
"LASSO","Window 1","USDC","depeg_3d",0.829,0.282,1,1,0.282,0.44,0.825,11,125,0,28,164
"LASSO","Window 1","USDC","depeg_5d",0.756,0.111,1,1,0.111,0.2,0.807,5,119,0,40,164
"LASSO","Window 1","USDC","depeg_7d",0.713,0.078,1,1,0.078,0.145,0.724,4,113,0,47,164
"LASSO","Window 1","USDT","depeg_1d",1,0,1,0,0,0,0,0,164,0,0,164
"LASSO","Window 1","USDT","depeg_3d",0.994,0,1,0,0,0,0.834,0,163,0,1,164
"LASSO","Window 1","USDT","depeg_5d",0.976,0,0.994,0,0,0,0.584,0,160,1,3,164
"LASSO","Window 1","USDT","depeg_7d",0.878,0,0.906,0,0,0,0.497,0,144,15,5,164
