"model","window","coin","horizon","feature","baseline_logloss","perm_logloss_mean","perm_logloss_sd","importance_logloss"
"RF","Window 1","DAI","depeg_1d","parkinson_7d",0.373964228201877,0.406004660053542,0.00352847813508026,0.0320404318516656
"RF","Window 1","DAI","depeg_1d","parkinson_daily",0.373964228201877,0.393304506995294,0.00199882887622648,0.0193402787934175
"RF","Window 1","DAI","depeg_1d","volatility_7d",0.373964228201877,0.39307592330176,0.00215734464851551,0.019111695099883
"RF","Window 1","DAI","depeg_1d","dist_from_lower_band",0.373964228201877,0.392319936649243,0.0028409728861635,0.0183557084473666
"RF","Window 1","DAI","depeg_1d","volatility_30d",0.373964228201877,0.391211366444539,0.0022360996157998,0.0172471382426629
"RF","Window 1","DAI","depeg_1d","intraday_range",0.373964228201877,0.390467498063854,0.00235998326301402,0.0165032698619773
"RF","Window 1","DAI","depeg_1d","abs_peg_deviation",0.373964228201877,0.38371630790574,0.000882290107834322,0.00975207970386371
"RF","Window 1","DAI","depeg_1d","V_monthly",0.373964228201877,0.382630378852502,0.00225293600269961,0.00866615065062515
"RF","Window 1","DAI","depeg_1d","log_return",0.373964228201877,0.380566780796063,0.000565266575674387,0.00660255259418668
"RF","Window 1","DAI","depeg_1d","pct_close_1d",0.373964228201877,0.380544893369353,0.000852584205146198,0.00658066516747674
"RF","Window 1","DAI","depeg_1d","volatility_3d",0.373964228201877,0.380193200028321,0.000906898243079776,0.00622897182644433
"RF","Window 1","DAI","depeg_1d","dist_from_ma_7d",0.373964228201877,0.379576480871862,0.000422437060257997,0.00561225266998566
"RF","Window 1","DAI","depeg_1d","pct_close_3d",0.373964228201877,0.378717543924228,0.000809942181389276,0.00475331572235171
"RF","Window 1","DAI","depeg_1d","pct_open_30d",0.373964228201877,0.377862931779717,0.000511165639026291,0.00389870357784078
"RF","Window 1","DAI","depeg_1d","pct_high_3d",0.373964228201877,0.377457222036627,0.000513000530313894,0.00349299383475021
"RF","Window 1","DAI","depeg_1d","pct_high_30d",0.373964228201877,0.377252223914449,0.000629087361406711,0.00328799571257221
"RF","Window 1","DAI","depeg_1d","pct_close_30d",0.373964228201877,0.377095715684632,0.00110520924554506,0.00313148748275593
"RF","Window 1","DAI","depeg_1d","close_lag1d",0.373964228201877,0.377049240587988,0.000390652292850752,0.00308501238611186
"RF","Window 1","DAI","depeg_1d","pct_open_7d",0.373964228201877,0.376355719312208,0.000532487136483861,0.00239149111033182
"RF","Window 1","DAI","depeg_1d","pct_low_30d",0.373964228201877,0.376308014899839,0.000548601279914469,0.00234378669796292
"RF","Window 1","DAI","depeg_1d","pct_low_7d",0.373964228201877,0.376113739769726,0.000377309320690045,0.00214951156784932
"RF","Window 1","DAI","depeg_1d","n_big_players",0.373964228201877,0.376032359238014,0.000499317950329059,0.00206813103613795
"RF","Window 1","DAI","depeg_1d","shannon_entropy",0.373964228201877,0.375932290801259,0.000514228584492206,0.00196806259938237
"RF","Window 1","DAI","depeg_1d","pct_low_1d",0.373964228201877,0.375590127191848,0.000497798870241642,0.00162589898997129
"RF","Window 1","DAI","depeg_1d","volume",0.373964228201877,0.375316652042507,0.000358095676984604,0.00135242384063011
"RF","Window 1","DAI","depeg_1d","net_swap_flow",0.373964228201877,0.375052300790014,0.000322246133674888,0.00108807258813792
"RF","Window 1","DAI","depeg_1d","pct_open_3d",0.373964228201877,0.374996408758352,0.000268981728505168,0.00103218055647553
"RF","Window 1","DAI","depeg_1d","pct_high_1d",0.373964228201877,0.374970288106627,0.000287807259827304,0.00100605990475022
"RF","Window 1","DAI","depeg_1d","gross_outflow",0.373964228201877,0.374902837297931,0.000418699665512597,0.000938609096054144
"RF","Window 1","DAI","depeg_1d","pct_low_3d",0.373964228201877,0.374851428812379,0.000279445201492601,0.000887200610502736
"RF","Window 1","DAI","depeg_1d","pct_high_7d",0.373964228201877,0.374721252489134,0.000437607600945215,0.000757024287257824
"RF","Window 1","DAI","depeg_1d","log_diff_gini",0.373964228201877,0.374651856589608,0.000466872738062437,0.000687628387731454
"RF","Window 1","DAI","depeg_1d","pct_close_7d",0.373964228201877,0.374639342996331,0.000398400888258418,0.000675114794454534
"RF","Window 1","DAI","depeg_1d","log_diff_entropy",0.373964228201877,0.374587072585389,0.000480527177480577,0.000622844383512511
"RF","Window 1","DAI","depeg_1d","pin_proxy",0.373964228201877,0.374536880280178,0.000888164068525928,0.000572652078301206
"RF","Window 1","DAI","depeg_1d","log_diff_pin",0.373964228201877,0.374534969071416,0.000683823543377,0.000570740869539954
"RF","Window 1","DAI","depeg_1d","rsi_14",0.373964228201877,0.374514608096242,0.000547307556951039,0.00055037989436596
"RF","Window 1","DAI","depeg_1d","gini_coefficient",0.373964228201877,0.374473577761877,0.000458171316214178,0.000509349560000372
"RF","Window 1","DAI","depeg_1d","close_usdc",0.373964228201877,0.374446071416416,0.000779308802463286,0.000481843214539257
"RF","Window 1","DAI","depeg_1d","rvol",0.373964228201877,0.37443627526668,0.000196743192655876,0.000472047064803693
"RF","Window 1","DAI","depeg_1d","net_flow_7d_avg",0.373964228201877,0.374410240710813,0.000682347012991405,0.000446012508936
"RF","Window 1","DAI","depeg_1d","log_diff_net_flow",0.373964228201877,0.37432941364136,0.000434643470798869,0.000365185439483329
"RF","Window 1","DAI","depeg_1d","ma_7d",0.373964228201877,0.374271476281474,0.000199089441989613,0.000307248079596978
"RF","Window 1","DAI","depeg_1d","bb_pctb",0.373964228201877,0.37422448667598,0.00024490615713346,0.000260258474103325
"RF","Window 1","DAI","depeg_1d","value",0.373964228201877,0.374143431488569,0.000425303515171655,0.000179203286692797
"RF","Window 1","DAI","depeg_1d","pin_7d_avg",0.373964228201877,0.374111237904748,0.000309781608183515,0.000147009702871959
"RF","Window 1","DAI","depeg_1d","gini_7d_avg",0.373964228201877,0.374105549118041,0.000391692631367501,0.000141320916164256
"RF","Window 1","DAI","depeg_1d","gross_inflow",0.373964228201877,0.374070751884327,0.000273244440173987,0.000106523682450899
"RF","Window 1","DAI","depeg_1d","pct_open_1d",0.373964228201877,0.373990313082192,0.000231074608392333,2.608488031558e-05
"RF","Window 1","DAI","depeg_1d","token_address",0.373964228201877,0.373964228201877,0,0
"RF","Window 1","DAI","depeg_1d","marketCap",0.373964228201877,0.373851602934664,8.7078055365456e-05,-0.000112625267212452
"RF","Window 1","DAI","depeg_1d","close_usdt",0.373964228201877,0.373813655195498,0.000313143942754944,-0.000150573006378885
"RF","Window 1","DAI","depeg_1d","close_lag7d",0.373964228201877,0.373762107938871,0.000437332437024902,-0.000202120263005146
"RF","Window 1","DAI","depeg_1d","close_wluna",0.373964228201877,0.373706454232557,0.000258182671921417,-0.000257773969319364
"RF","Window 1","DAI","depeg_1d","ema_7d",0.373964228201877,0.373621553096711,0.000276592163272585,-0.000342675105165557
"RF","Window 1","DAI","depeg_1d","entropy_7d_avg",0.373964228201877,0.373571477140727,0.000327062511627214,-0.00039275106114961
"RF","Window 1","DAI","depeg_1d","big_player_7d_avg",0.373964228201877,0.373264669595111,0.000377676175620164,-0.000699558606765571
"RF","Window 1","DAI","depeg_1d","circulatingSupply",0.373964228201877,0.373202079535803,0.000210906005158507,-0.000762148666073548
"RF","Window 1","DAI","depeg_1d","big_players_vol_pct",0.373964228201877,0.372580196369493,0.000344029678509118,-0.00138403183238384
"RF","Window 1","DAI","depeg_1d","close_pax",0.373964228201877,0.371535484134526,0.00130610924591443,-0.0024287440673505
"RF","Window 1","DAI","depeg_1d","ma_30d",0.373964228201877,0.360581741951785,0.00161368844843769,-0.0133824862500919
"RF","Window 1","DAI","depeg_3d","volatility_30d",0.602103426817776,0.645521729660994,0.00730148443606097,0.0434183028432175
"RF","Window 1","DAI","depeg_3d","volatility_7d",0.602103426817776,0.641469556326461,0.00504698557919271,0.0393661295086847
"RF","Window 1","DAI","depeg_3d","parkinson_7d",0.602103426817776,0.621081061455398,0.00435763650504365,0.0189776346376216
"RF","Window 1","DAI","depeg_3d","intraday_range",0.602103426817776,0.610955577315508,0.00260502759882653,0.00885215049773125
"RF","Window 1","DAI","depeg_3d","dist_from_lower_band",0.602103426817776,0.610314418076732,0.00162655171695132,0.00821099125895519
