timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;circulatingSupply;timestamp
"2020-12-31T00:00:00.000Z";"2020-12-31T23:59:59.999Z";"2020-12-31T20:14:05.000Z";"2020-12-31T13:13:05.000Z";"2781";1917.30265879;1935.65561723;1912.14629307;1930.47280427;3578921.47;76044655.75609307;39391.73;"2020-12-31T23:59:59.999Z"
"2020-12-30T00:00:00.000Z";"2020-12-30T23:59:59.999Z";"2020-12-30T22:23:06.000Z";"2020-12-30T11:02:06.000Z";"2781";1898.36792917;1923.03000285;1896.50992822;1916.71326974;3779023.15;74742837.7183749;38995.32;"2020-12-30T23:59:59.999Z"
"2020-12-29T00:00:00.000Z";"2020-12-29T23:59:59.999Z";"2020-12-29T20:38:05.000Z";"2020-12-29T22:47:05.000Z";"2781";1907.5995941;1917.58149952;1891.70036316;1901.13368703;3951000.35;73390518.84945437;38603.56;"2020-12-29T23:59:59.999Z"
"2020-12-28T00:00:00.000Z";"2020-12-28T23:59:59.999Z";"2020-12-28T02:21:05.000Z";"2020-12-28T12:40:07.000Z";"2781";1927.38832549;1940.01375538;1893.84060545;1909.00812149;5345201.15;72151706.4648002;37795.39;"2020-12-28T23:59:59.999Z"
"2020-12-27T00:00:00.000Z";"2020-12-27T23:59:59.999Z";"2020-12-27T16:02:05.000Z";"2020-12-27T05:54:05.000Z";"2781";1911.69507521;1936.1805091;1906.38270327;1926.60650653;4548961.09;72816844.29093818;37795.39;"2020-12-27T23:59:59.999Z"
"2020-12-26T00:00:00.000Z";"2020-12-26T23:59:59.999Z";"2020-12-26T23:20:09.000Z";"2020-12-26T05:54:06.000Z";"2781";1899.09193763;1912.65134968;1894.84786061;1911.66116336;2671584.39;72251979.21701235;37795.39;"2020-12-26T23:59:59.999Z"
"2020-12-25T00:00:00.000Z";"2020-12-25T23:59:59.999Z";"2020-12-25T20:53:06.000Z";"2020-12-25T02:46:06.000Z";"2781";1890.67553037;1901.33689708;1883.98443555;1898.06413165;2108396.02;71738074.10068607;37795.39;"2020-12-25T23:59:59.999Z"
"2020-12-24T00:00:00.000Z";"2020-12-24T23:59:59.999Z";"2020-12-24T20:18:06.000Z";"2020-12-24T00:01:06.000Z";"2781";1876.35030714;1896.12893973;1871.20839654;1890.6604319;2430469.35;71458248.38123281;37795.39;"2020-12-24T23:59:59.999Z"
"2020-12-23T00:00:00.000Z";"2020-12-23T23:59:59.999Z";"2020-12-23T15:41:09.000Z";"2020-12-23T07:00:07.000Z";"2781";1880.77205576;1882.10029323;1858.72345469;1876.49087191;2374354.56;70922704.33533427;37795.39;"2020-12-23T23:59:59.999Z"
"2020-12-22T00:00:00.000Z";"2020-12-22T23:59:59.999Z";"2020-12-22T00:39:06.000Z";"2020-12-22T21:10:08.000Z";"2781";1890.996061;1896.23482187;1867.25003945;1880.69370443;2930077.46;70350580.92682946;37406.72;"2020-12-22T23:59:59.999Z"
"2020-12-21T00:00:00.000Z";"2020-12-21T23:59:59.999Z";"2020-12-21T09:36:06.000Z";"2020-12-21T10:33:06.000Z";"2781";1888.00988997;1909.83793385;1869.62883257;1889.79541654;3373124.22;81261665.91108458;43000.25;"2020-12-21T23:59:59.999Z"
"2020-12-20T00:00:00.000Z";"2020-12-20T23:59:59.999Z";"2020-12-20T18:44:06.000Z";"2020-12-20T13:41:06.000Z";"2781";1887.37861572;1891.51265493;1880.58880361;1888.64450938;2257599.88;81212176.6212211;43000.25;"2020-12-20T23:59:59.999Z"
"2020-12-19T00:00:00.000Z";"2020-12-19T23:59:59.999Z";"2020-12-19T04:06:06.000Z";"2020-12-19T23:00:12.000Z";"2781";1893.07575858;1896.66004954;1884.84484749;1886.48711973;1975268.78;81119408.33782911;43000.25;"2020-12-19T23:59:59.999Z"
"2020-12-18T00:00:00.000Z";"2020-12-18T23:59:59.999Z";"2020-12-18T06:16:06.000Z";"2020-12-18T20:30:11.000Z";"2781";1897.42500884;1899.99655055;1885.46484012;1892.73992659;2666047.22;81388280.56466587;43000.25;"2020-12-18T23:59:59.999Z"
"2020-12-17T00:00:00.000Z";"2020-12-17T23:59:59.999Z";"2020-12-17T22:42:06.000Z";"2020-12-17T02:20:06.000Z";"2781";1859.98522085;1902.8118024;1854.65580651;1898.01705614;2516581.58;80857965.54348312;42601.29;"2020-12-17T23:59:59.999Z"
"2020-12-16T00:00:00.000Z";"2020-12-16T23:59:59.999Z";"2020-12-16T22:08:06.000Z";"2020-12-16T01:44:06.000Z";"2781";1844.33109888;1865.10589091;1835.6924522;1860.12855136;1713006.98;79243866.5531647;42601.29;"2020-12-16T23:59:59.999Z"
"2020-12-15T00:00:00.000Z";"2020-12-15T23:59:59.999Z";"2020-12-15T21:08:06.000Z";"2020-12-15T01:47:06.000Z";"2781";1827.47470289;1846.32014399;1821.58237866;1844.28840143;1068688.99;78569055.81165628;42601.29;"2020-12-15T23:59:59.999Z"
"2020-12-14T00:00:00.000Z";"2020-12-14T23:59:59.999Z";"2020-12-14T03:18:06.000Z";"2020-12-14T16:11:06.000Z";"2781";1834.13089211;1835.71611055;1816.4641899;1827.46860074;1007047.02;77852510.68877727;42601.29;"2020-12-14T23:59:59.999Z"
"2020-12-13T00:00:00.000Z";"2020-12-13T23:59:59.999Z";"2020-12-13T22:44:06.000Z";"2020-12-13T16:20:08.000Z";"2781";1826.50629455;1835.62842025;1823.21395478;1833.97487635;944825.95;78129686.39030676;42601.29;"2020-12-13T23:59:59.999Z"
"2020-12-12T00:00:00.000Z";"2020-12-12T23:59:59.999Z";"2020-12-12T00:47:06.000Z";"2020-12-12T21:49:06.000Z";"2781";1827.29025475;1835.7151152;1819.95048904;1826.51076194;884855.9;77811705.52510148;42601.29;"2020-12-12T23:59:59.999Z"
"2020-12-11T00:00:00.000Z";"2020-12-11T23:59:59.999Z";"2020-12-11T15:46:06.000Z";"2020-12-11T07:46:06.000Z";"2781";1829.00763506;1843.60136933;1822.8821398;1827.63889972;1109998.68;77859765.6442689;42601.29;"2020-12-11T23:59:59.999Z"
"2020-12-10T00:00:00.000Z";"2020-12-10T23:59:59.999Z";"2020-12-10T15:02:06.000Z";"2020-12-10T23:45:12.000Z";"2781";1839.81144481;1851.06772167;1825.90827635;1829.25035145;1074479.2;77928415.55831915;42601.29;"2020-12-10T23:59:59.999Z"
"2020-12-09T00:00:00.000Z";"2020-12-09T23:59:59.999Z";"2020-12-09T01:05:06.000Z";"2020-12-09T19:17:06.000Z";"2781";1863.56561071;1864.06874728;1827.28592237;1839.88070235;1208622.16;77642047.53852569;42199.5;"2020-12-09T23:59:59.999Z"
"2020-12-08T00:00:00.000Z";"2020-12-08T23:59:59.999Z";"2020-12-08T04:25:06.000Z";"2020-12-08T12:44:05.000Z";"2781";1865.78792952;1876.02094278;1850.82378368;1863.56140977;1300055.37;78641361.57508749;42199.5;"2020-12-08T23:59:59.999Z"
"2020-12-07T00:00:00.000Z";"2020-12-07T23:59:59.999Z";"2020-12-07T23:33:06.000Z";"2020-12-07T09:32:05.000Z";"2781";1829.42653574;1870.3363578;1812.94530065;1865.85257118;1155333.74;78738047.4434081;42199.5;"2020-12-07T23:59:59.999Z"
"2020-12-06T00:00:00.000Z";"2020-12-06T23:59:59.999Z";"2020-12-06T00:11:06.000Z";"2020-12-06T13:40:07.000Z";"2781";1831.32998583;1834.81348688;1821.90526975;1829.62718298;669336.51;77209354.13779578;42199.5;"2020-12-06T23:59:59.999Z"
